Module,Tech,Width,Target Freq,Delay,Area,L Power (nW),D energy (fJ)
comparator,tsmc28,8,35000,0.057464,38.682,206.92,21.721391999999998
add,tsmc28,64,8705,0.12032000000000001,440.622004,2220.0,172.89984
add,tsmc28,8,15194,0.070553,41.706,250.932,17.5041993
comparator,sky90,128,2500,0.39962600000000004,2625.420051,495.907,360.86227800000006
mult,sky90,64,670,1.561193,92421.841521,53500.0,106089.30912199999
flop,tsmc28,8,15000,0.048892000000000005,15.12,157.269,39.93987480000001
mux8,sky90,128,2609,0.38315699999999997,4166.960064,1500.0,860.9537789999999
csa,sky90,16,5984,0.165225,588.000011,322.135,321.1974
mult,sky90,16,1500,1.003426,8010.520148,5680.0,11227.333514
mux2,sky90,32,5346,0.21904099999999999,233.240005,55.502,88.492564
mux2,sky90,32,5283,0.21904,233.240005,55.502,87.17792
shiftleft,tsmc28,16,12046,0.083024,122.093999,582.348,32.047264
mux4,sky90,16,4363,0.228127,359.659999,419.781,100.14775300000001
comparator,tsmc28,8,16706,0.059646000000000005,30.114,136.439,7.926953400000002
mux4,sky90,8,4748,0.21265799999999999,145.040003,62.861,39.5331222
flop,tsmc28,128,20700,0.048892,241.919998,2520.0,881.76722
priorityencoder,tsmc28,8,10000,0.05781100000000001,4.284,14.558,0.49833082000000006
shiftleft,tsmc28,8,1000,0.12400900000000004,15.624,51.263,0.6225251800000002
mux4,tsmc28,32,13954,0.071136,68.04,282.367,20.700576000000005
flop,tsmc28,128,5000,0.04889200000000002,241.919998,2520.0,212.9784412000001
priorityencoder,sky90,16,5062,0.195991,111.720002,44.849,14.248545700000001
mux2,sky90,64,4225,0.242975,511.560009,130.238,162.550275
shiftleft,tsmc28,128,5000,0.199997,672.083996,2400.0,219.19671200000002
mux2,sky90,32,5385,0.21904,233.240005,55.502,89.14928
mux4,sky90,8,10644,0.214647,155.820003,90.053,84.141624
mux2,sky90,16,4982,0.202074,119.560002,32.354,39.2225634
mux4,tsmc28,8,19297,0.057567,22.302,111.045,7.0922544
priorityencoder,sky90,32,5139,0.206543,395.920008,214.865,52.875008
csa,tsmc28,32,24362,0.040986,209.664,1920.0,86.84933400000001
mux2,sky90,8,5060,0.197561,63.700001,30.692,22.067563699999997
mux8,sky90,64,1000,0.839879,1606.220031,112.505,229.0350033
flop,tsmc28,32,20000,0.048892000000000005,60.4799995,629.157,213.02733320000004
csa,tsmc28,8,5000,0.067577,17.136,57.229,2.4395297
shiftleft,sky90,16,3422,0.307921,625.240012,393.788,169.048629
mux8,tsmc28,16,12756,0.07941200000000001,97.776,467.559,26.523608
csa,tsmc28,128,10000,0.067577,274.175995,917.068,78.11901199999998
priorityencoder,tsmc28,16,30000,0.046221,26.334,96.855,6.5125389
inv,sky90,1,150000,0.068856,3.92,5.959,46.06466400000001
shiftleft,sky90,8,4497,0.230081,262.640004,204.113,76.847054
mux4,sky90,16,4541,0.26359699999999997,358.680007,100.453,94.89491999999998
mux2,tsmc28,32,10000,0.092725,28.854001,147.552,8.595607500000002
flop,tsmc28,128,1000,0.04889200000000005,241.919998,2520.0,42.614267200000036
mux8,tsmc28,32,11939,0.085939,326.843999,1610.0,65.82927400000001
add,tsmc28,8,13787,0.072267,33.012,176.194,12.328750199999996
comparator,tsmc28,32,11641,0.088625,123.48,513.166,30.664249999999996
shiftleft,tsmc28,64,15000,0.121782,990.863998,5040.0,510.0230160000001
mux2,sky90,16,4260,0.231662,114.660002,39.643,41.76865860000001
mux8,sky90,64,3119,0.336859,2214.800043,772.006,488.78240900000003
mux8,sky90,32,2953,0.33839600000000003,1262.24001,682.649,294.74291600000004
csa,tsmc28,32,1000,0.067577,68.543999,229.117,1.9462175999999998
