design,area,area,area,area,area,area,area,delay,delay,delay,delay,delay,delay,delay,energy,energy,energy,energy,energy,energy,energy
design,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_4,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_4,RADIX_2_K_1,RADIX_2_K_2,RADIX_2_K_4,RADIX_2_K_8,RADIX_4_K_1,RADIX_4_K_2,RADIX_4_K_4
drsu_f_ieee_rv32gc_tsmc28nm_5000_MHz,3.033323989,3.3203519900000003,3.948713989,6.163289989,3.30422399,4.064759986,5.790203984,0.301744,0.369730,0.500001,0.946622,0.325552,0.415781,0.753221,8.865999999999999e-10,9.464e-10,1.1296e-09,1.5481999999999999e-09,9.012000000000001e-10,1.028e-09,1.4114000000000001e-09
drsu_fd_ieee_rv32gc_tsmc28nm_5000_MHz,6.856793971,7.3533599700000005,8.857799966,10.376729975,6.352415966,7.663949961,9.553319976000001,0.311826,0.409850,0.510072,0.958861,0.373265,0.466846,0.756815,1.8622e-09,1.9416e-09,2.1946000000000003e-09,2.583e-09,1.8116e-09,1.9184e-09,2.3726e-09
drsu_fdq_ieee_rv32gc_tsmc28nm_5000_MHz,13.942403928,14.251859948,18.091457933999997,21.677543957999998,13.11307193,15.491195913,18.387053950000002,0.330602,0.446972,0.583101,0.977668,0.461435,0.541933,0.780194,3.7864e-09,3.9418e-09,4.3624000000000006e-09,5.3484e-09,3.6606000000000004e-09,3.8158e-09,4.5812e-09
mdudiv_idiv_bitspercycle_rv32gc_tsmc28nm_5000_MHz,0.984311997,1.475459999,2.3950080010000003,4.507901998,1.475459999,2.3950080010000003,4.507901998,0.169382,0.284573,0.508572,0.952660,0.284573,0.508572,0.952660,4.85e-10,5.362e-10,6.246e-10,8.76e-10,5.362e-10,6.246e-10,8.76e-10
drsu_f_ieee_rv64gc_tsmc28nm_5000_MHz_IDIV,9.857861985,10.719953992999999,13.000427975000001,15.606107969999998,9.391913978,11.650337974,14.486597972,0.308583,0.464331,0.641653,0.958515,0.413446,0.601878,0.768011,3.1422e-09,3.2316000000000003e-09,3.6095999999999996e-09,4.1842e-09,3.035e-09,3.3084000000000003e-09,3.8491999999999995e-09
drsu_fd_ieee_rv64gc_tsmc28nm_5000_MHz_IDIV,10.271393987,11.613797989,13.170527992,16.600499978,10.261313991000002,12.226409975000001,15.841979976000001,0.325210,0.458209,0.691526,0.955639,0.425170,0.623010,0.776980,3.3778e-09,3.5933999999999996e-09,3.7055999999999997e-09,4.5289999999999996e-09,3.28e-09,3.6008000000000002e-09,4.1945999999999996e-09
drsu_fdq_ieee_rv64gc_tsmc28nm_5000_MHz_IDIV,17.458685974,18.601757987,21.529493964,26.813051966,16.810415970999998,19.407905953,24.781175949,0.308997,0.516333,0.763382,0.985349,0.499961,0.741040,0.809571,5.1594e-09,5.3586e-09,5.836399999999999e-09,6.855599999999999e-09,5.1085999999999995e-09,5.4902e-09,6.1944e-09
MDU_drsu_f_ieee_rv64gc_tsmc28nm_5000_MHz,5.71724999,6.433685981,9.499139980999999,14.988959997000002,6.331877978,9.491579981,14.424605992,0.300902,0.385986,0.568016,1.097608,0.338187,0.568016,1.097608,1.8324e-09,1.9755999999999997e-09,2.3958e-09,3.077e-09,1.9426000000000003e-09,2.2725999999999998e-09,2.9184e-09
MDU_drsu_fd_ieee_rv64gc_tsmc28nm_5000_MHz,9.141677969,10.131155962000001,13.849163964999999,19.049561986,9.959669959,13.134113955,17.991665983,0.311826,0.417639,0.568016,1.097608,0.36924,0.568016,1.097608,2.79e-09,2.9688e-09,3.4168e-09,4.0904e-09,2.858e-09,3.168e-09,3.8504e-09
MDU_drsu_fdq_ieee_rv64gc_tsmc28nm_5000_MHz,16.027955926,17.732105931,23.371487924,30.100139954,16.036271921,20.498183912000002,27.123767952,0.330646,0.44693,0.586606,1.097608,0.473153,0.568016,1.097608,4.7156e-09,4.951799999999999e-09,5.579e-09,6.836800000000001e-09,4.711599999999999e-09,5.066400000000001e-09,6.1196e-09
drsu_f_ieee_rv64gc_tsmc28nm_5000_MHz,3.281921992,3.2626439890000003,4.134185986,6.202979988,3.160835986,4.126625986,5.638625983,0.300902,0.385986,0.491325,0.987964,0.338187,0.413939,0.760890,8.974e-10,9.305999999999999e-10,1.1544e-09,1.5550000000000001e-09,8.976000000000001e-10,1.0312e-09,1.3964e-09
drsu_fd_ieee_rv64gc_tsmc28nm_5000_MHz,6.706349971,6.96011397,8.48420997,10.263581977,6.788627967,7.76915996,9.205685974,0.311826,0.417639,0.510154,0.974876,0.369240,0.466593,0.764376,1.8550000000000001e-09,1.9238e-09,2.1754e-09,2.5684e-09,1.8129999999999998e-09,1.9266e-09,2.3284e-09
drsu_fdq_ieee_rv64gc_tsmc28nm_5000_MHz,13.592627928,14.561063939,18.006533929,21.314159945,12.865229929,15.133229917000001,18.337787943,0.330646,0.446930,0.586606,0.994714,0.473153,0.550970,0.776923,3.7806e-09,3.9068e-09,4.3375999999999996e-09,5.314800000000001e-09,3.6665999999999997e-09,3.825e-09,4.5976e-09
mdudiv_idiv_bitspercycle_rv64gc_tsmc28nm_5000_MHz,2.435327998,3.171041992,5.364953995,8.785980009000001,3.171041992,5.364953995,8.785980009000001,0.181016,0.315838,0.568016,1.097608,0.315838,0.568016,1.097608,9.35e-10,1.045e-09,1.2413999999999999e-09,1.5220000000000001e-09,1.045e-09,1.2413999999999999e-09,1.5220000000000001e-09
