design,area,timing,power
drsu_f_ieee_div_2_4_rv64gc_orig_tsmc28nm_100_MHz,2568.509982,1.879080,0.110
drsu_f_ieee_div_2_4_rv64gc_orig_tsmc28nm_5000_MHz,4134.185986,0.491325,5.772
drsu_f_ieee_div_2_8i_rv32gc_orig_tsmc28nm_100_MHz,5949.845974,4.208057,0.234
drsu_f_ieee_div_2_8i_rv32gc_orig_tsmc28nm_5000_MHz,8960.363998,0.965832,12.411
drsu_f_ieee_div_2_8i_rv64gc_orig_tsmc28nm_100_MHz,10820.879954,5.448106,0.409
drsu_f_ieee_div_2_8i_rv64gc_orig_tsmc28nm_5000_MHz,15606.107970,0.958515,20.921
drsu_f_ieee_div_2_8_rv32gc_orig_tsmc28nm_100_MHz,3904.487977,3.753553,0.142
drsu_f_ieee_div_2_8_rv32gc_orig_tsmc28nm_5000_MHz,6163.289989,0.946622,7.741
drsu_f_ieee_div_2_8_rv64gc_orig_tsmc28nm_100_MHz,3904.487977,3.753553,0.142
drsu_f_ieee_div_2_8_rv64gc_orig_tsmc28nm_5000_MHz,6202.979988,0.987964,7.775
drsu_f_ieee_div_4_1i_rv32gc_orig_tsmc28nm_100_MHz,3075.911982,0.748807,0.161
drsu_f_ieee_div_4_1i_rv32gc_orig_tsmc28nm_5000_MHz,5363.945988,0.412207,8.613
drsu_f_ieee_div_4_1i_rv64gc_orig_tsmc28nm_100_MHz,5947.955971,1.074810,0.298
drsu_f_ieee_div_4_1i_rv64gc_orig_tsmc28nm_5000_MHz,9391.913978,0.413446,15.175
drsu_f_ieee_div_4_1_rv32gc_orig_tsmc28nm_100_MHz,1782.521984,0.682410,9.32e-02
drsu_f_ieee_div_4_1_rv32gc_orig_tsmc28nm_5000_MHz,3304.223990,0.325552,4.506
drsu_f_ieee_div_4_1_rv64gc_orig_tsmc28nm_100_MHz,1782.395984,0.682410,9.31e-02
drsu_f_ieee_div_4_1_rv64gc_orig_tsmc28nm_5000_MHz,3160.835986,0.338187,4.488
